Start 1273 35
[1, 590, 166, 0, 0, 0, 68]
[1, 590, 166, 1, 0, 0, 893]
[1, 496, 277, 0, 1, 0, 97]
[1, 496, 277, 0, 1, 3, 59]
[1, 496, 277, 1, 1, 0, 273]
[1, 490, 275, 0, 1, 0, 104]
[1, 459, 254, 1, 1, 3, 64]
[1, 430, 239, 0, 1, 2, 83]
[1, 422, 237, 1, 1, 0, 41]
[1, 422, 237, 1, 1, 2, 22]
[1, 422, 237, 0, 0, 1, 4915]
[1, 422, 237, 1, 0, 1, 30]
[1, 422, 237, 0, 1, 2, 499]
[1, 422, 237, 0, 1, 2, 34]
[1, 423, 237, 0, 1, 2, 32]
[1, 446, 237, 0, 1, 2, 34]
[1, 487, 238, 0, 1, 2, 33]
[1, 521, 244, 0, 1, 2, 33]
[1, 549, 253, 0, 1, 2, 33]
[1, 579, 269, 0, 1, 2, 33]
[1, 588, 274, 0, 1, 2, 32]
[1, 588, 274, 0, 1, 2, 34]
[1, 588, 274, 0, 1, 2, 32]
[1, 588, 274, 0, 1, 2, 34]
[1, 588, 274, 0, 1, 2, 32]
[1, 588, 274, 0, 1, 2, 33]
[1, 588, 274, 0, 1, 2, 34]
[1, 588, 274, 0, 1, 2, 34]
[1, 588, 274, 0, 1, 2, 31]
[1, 588, 274, 0, 1, 2, 33]
[1, 588, 274, 0, 1, 2, 34]
[1, 588, 274, 0, 1, 2, 33]
[1, 588, 274, 0, 1, 2, 33]
[1, 588, 274, 0, 1, 2, 33]
[1, 588, 274, 0, 1, 2, 22]
[1, 588, 274, 0, 1, 1, 374]
[1, 525, 272, 1, 1, 1, 42]
[1, 525, 272, 1, 1, 2, 246]
[1, 525, 271, 0, 1, 4, 81]
[1, 525, 271, 1, 1, 4, 657]
[1, 290, 167, 0, 0, 0, 54]
[1, 290, 167, 1, 0, 0, 864]
[1, 1066, 89, 0, 0, 0, 64]
[1, 1066, 89, 1, 0, 0, 1041]
[1, 480, 351, 0, 0, 0, 60]
[1, 480, 351, 1, 0, 0, 0]
End
